Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.90118408203125;801.909624975373;-6.6131591796875E-06;3;3280;0.00130073870718479;-0.00174695737659931;10 µA
-0.89874267578125;802.153765974756;-6.6131591796875E-06;3;3281;0.00130073870718479;-0.00174695737659931;10 µA
-0.89630126953125;802.39790697414;-6.610107421875E-06;3;3282;0.00130073870718479;-0.00174695737659931;10 µA
-0.89385986328125;802.642047973524;-6.60400390625E-06;3;3283;0.00130073870718479;-0.00174695737659931;10 µA
-0.89141845703125;802.886188972907;-6.597900390625E-06;3;3284;0.00130073870718479;-0.00174695737659931;10 µA
-0.88897705078125;803.130329972291;-6.597900390625E-06;3;3285;0.00130073870718479;-0.00174695737659931;10 µA
-0.88653564453125;803.374470971674;-6.5948486328125E-06;3;3286;0.00130073870718479;-0.00174695737659931;10 µA
-0.88409423828125;803.618611971058;-6.5948486328125E-06;3;3287;0.00130073870718479;-0.00174695737659931;10 µA
-0.88165283203125;803.862752970442;-6.585693359375E-06;3;3288;0.00130073870718479;-0.00174695737659931;10 µA
-0.87921142578125;804.106893969825;-6.5826416015625E-06;3;3289;0.00130073870718479;-0.00174695737659931;10 µA
-0.87677001953125;804.351034969209;-6.57958984375E-06;3;3290;0.00130073870718479;-0.00174695737659931;10 µA
-0.87432861328125;804.595175968592;-6.57958984375E-06;3;3291;0.00130073870718479;-0.00174695737659931;10 µA
-0.87188720703125;804.839316967976;-6.573486328125E-06;3;3292;0.00130073870718479;-0.00174695737659931;10 µA
-0.86944580078125;805.08345796736;-6.5704345703125E-06;3;3293;0.00130073870718479;-0.00174695737659931;10 µA
-0.86700439453125;805.327598966743;-6.5643310546875E-06;3;3294;0.00130073870718479;-0.00174695737659931;10 µA
-0.86456298828125;805.571739966127;-6.5582275390625E-06;3;3295;0.00130073870718479;-0.00174695737659931;10 µA
-0.86212158203125;805.81588096551;-6.55517578125E-06;3;3296;0.00130073870718479;-0.00174695737659931;10 µA
-0.85968017578125;806.060021964894;-6.5521240234375E-06;3;3297;0.00130073870718479;-0.00174695737659931;10 µA
-0.85723876953125;806.304162964278;-6.549072265625E-06;3;3298;0.00130073870718479;-0.00174695737659931;10 µA
-0.85479736328125;806.548303963661;-6.54296875E-06;3;3299;0.00130073870718479;-0.00174695737659931;10 µA
-0.85235595703125;806.792444963045;-6.536865234375E-06;3;3300;0.00130073870718479;-0.00174695737659931;10 µA
-0.84991455078125;807.036585962428;-6.5338134765625E-06;3;3301;0.00130073870718479;-0.00174695737659931;10 µA
-0.84747314453125;807.280726961812;-6.5338134765625E-06;3;3302;0.00130073870718479;-0.00174695737659931;10 µA
-0.84503173828125;807.524867961196;-6.5277099609375E-06;3;3303;0.00130073870718479;-0.00174695737659931;10 µA
-0.84259033203125;807.769008960579;-6.5185546875E-06;3;3304;0.00130073870718479;-0.00174695737659931;10 µA
-0.84014892578125;808.013149959963;-6.5155029296875E-06;3;3305;0.00130073870718479;-0.00174695737659931;10 µA
-0.83770751953125;808.257290959347;-6.512451171875E-06;3;3306;0.00130073870718479;-0.00174695737659931;10 µA
-0.83526611328125;808.50143195873;-6.5093994140625E-06;3;3307;0.00130073870718479;-0.00174695737659931;10 µA
-0.83282470703125;808.745572958114;-6.50634765625E-06;3;3308;0.00130073870718479;-0.00174695737659931;10 µA
-0.83038330078125;808.989713957497;-6.4971923828125E-06;3;3309;0.00130073870718479;-0.00174695737659931;10 µA
-0.82794189453125;809.233854956881;-6.4910888671875E-06;3;3310;0.00130073870718479;-0.00174695737659931;10 µA
-0.82550048828125;809.477995956265;-6.488037109375E-06;3;3311;0.00130073870718479;-0.00174695737659931;10 µA
-0.82305908203125;809.722136955648;-6.4849853515625E-06;3;3312;0.00130073870718479;-0.00174695737659931;10 µA
-0.82061767578125;809.966277955032;-6.48193359375E-06;3;3313;0.00130073870718479;-0.00174695737659931;10 µA
-0.81817626953125;810.210418954415;-6.475830078125E-06;3;3314;0.00130073870718479;-0.00174695737659931;10 µA
-0.81573486328125;810.454559953799;-6.4666748046875E-06;3;3315;0.00130073870718479;-0.00174695737659931;10 µA
-0.81329345703125;810.698700953183;-6.463623046875E-06;3;3316;0.00130073870718479;-0.00174695737659931;10 µA
-0.81085205078125;810.942841952566;-6.4605712890625E-06;3;3317;0.00130073870718479;-0.00174695737659931;10 µA
-0.80841064453125;811.18698295195;-6.4544677734375E-06;3;3318;0.00130073870718479;-0.00174695737659931;10 µA
-0.80596923828125;811.431123951333;-6.4483642578125E-06;3;3319;0.00130073870718479;-0.00174695737659931;10 µA
-0.80352783203125;811.675264950717;-6.439208984375E-06;3;3320;0.00130073870718479;-0.00174695737659931;10 µA
-0.80108642578125;811.919405950101;-6.43310546875E-06;3;3321;0.00130073870718479;-0.00174695737659931;10 µA
-0.79864501953125;812.163546949484;-6.43310546875E-06;3;3322;0.00130073870718479;-0.00174695737659931;10 µA
